Sr. No.,Department,Program,Course Name,Course Code,Course Type,Theory Credits,Practical Credits,Internal,MCQ,Theory,Created At
16,Computer Science and Engineering,UG,Capstone Project-II,CSE05K701,PROJECT,,3.0,,,,2024-12-13 23:30:28
17,Computer Science and Engineering,UG,Cloud Computing,CSE05C603,Core,,3.0,,,,2024-12-13 23:10:15
18,Computer Science and Engineering,UG,Communication Skill,CSE05A103,AECC,2.0,,30.0,20.0,50.0,2024-12-10 01:14:29
19,Computer Science and Engineering,UG,Computer Organization & Design,CSE05C203,Core,3.0,,30.0,20.0,50.0,2024-12-10 01:27:58
20,Computer Science and Engineering,UG,Computer Problem Solving,CSE05C101,Core,3.0,1.0,30.0,20.0,50.0,2024-12-10 01:10:07
21,Computer Science and Engineering,UG,Computer System Architecture,CSN05C204,Core,4.0,,30.0,20.0,50.0,2024-08-08 03:26:21
22,Computer Science and Engineering,UG,Cyber Security,CSN05GX02,GE,3.0,,20.0,20.0,60.0,2024-08-08 03:28:25
23,Computer Science and Engineering,UG,Data Base Management System,CSE05C201,Core,4.0,2.0,20.0,20.0,60.0,2025-01-22 05:04:52
24,Computer Science and Engineering,UG,Data Communication and Networking,CSN05C204,Core,3.0,2.0,30.0,20.0,50.0,2024-08-08 03:57:45
25,Computer Science and Engineering,UG,Data Communication and Networking,CSN05C404,Core,3.0,2.0,30.0,20.0,60.0,2025-01-23 23:42:10
26,Computer Science and Engineering,UG,Data Handling and Visualization,CSE05C503,Core,3.0,,30.0,20.0,50.0,2024-12-13 01:13:30
27,Computer Science and Engineering,UG,Data Mining (For students of BCA (H ) in Data Analytics,CSN05C402,SEC,3.0,,40.0,,60.0,2024-08-08 04:01:39
28,Computer Science and Engineering,UG,Data Structures,CSN05C301,Core,4.0,2.0,30.0,20.0,50.0,2024-08-08 03:33:42
29,Computer Science and Engineering,UG,Data Structures,CSE05C302,Core,3.0,1.0,20.0,20.0,50.0,2024-12-12 02:56:56
30,Computer Science and Engineering,UG,Database Management Systems,CSN05C201,Core,4.0,2.0,30.0,20.0,50.0,2024-08-08 03:21:42
31,Computer Science and Engineering,UG,Deep Learning (For students of BCA (H) in AI ML),CSN05C501,DSE,3.0,2.0,20.0,20.0,60.0,2024-08-23 03:14:09
32,Computer Science and Engineering,UG,Design & Analysis of Algorithms,CSE05C401,Core,3.0,1.0,20.0,30.0,50.0,2024-12-12 03:05:07
33,Computer Science and Engineering,UG,DevOps,CSE05C702,Core,,3.0,,,,2024-12-13 23:19:22
34,Computer Science and Engineering,UG,Digital electronics,CSN05C102,Core,4.0,,30.0,20.0,50.0,2024-08-11 23:22:49
35,Computer Science and Engineering,UG,Digital Image Processing,CSE05E504,DSE,,3.0,,,,2024-12-13 01:58:10
36,Computer Science and Engineering,UG,Discrete Mathematics,CSE05C504,Core,3.0,,20.0,20.0,60.0,2024-12-13 01:14:11
37,Computer Science and Engineering,UG,Discrete Mathematies,CSN050C403,Core,4.0,,30.0,20.0,60.0,2024-08-08 03:56:04
38,Computer Science and Engineering,UG,Ecology and Environment,CCE05GX02,GE,3.0,,20.0,20.0,60.0,2024-08-08 03:29:47
39,Computer Science and Engineering,UG,Ecology and Environment,CSE05K403,SEC,1.0,,30.0,20.0,50.0,2024-12-13 01:09:55
40,Computer Science and Engineering,UG,Engineering Chemistry,CSE05A102,AECC,3.0,1.0,20.0,20.0,60.0,2024-12-10 01:13:36
41,Computer Science and Engineering,UG,Engineering Ethics,CSE05K401,SEC,1.0,,30.0,20.0,50.0,2024-12-13 01:08:45
42,Computer Science and Engineering,UG,Engineering Mathematics,CSE05C102,Core,3.0,,20.0,20.0,60.0,2024-12-10 01:10:38
43,Computer Science and Engineering,UG,Engineering Physics,CSE05B101,Core,4.0,2.0,20.0,20.0,60.0,2024-12-10 01:03:51
44,Computer Science and Engineering,UG,Engineering Physics,CSE05A101,AECC,3.0,1.0,20.0,20.0,50.0,2024-12-10 01:12:29
45,Computer Science and Engineering,UG,English Reading and Writing,AEC05AX04,AECC,4.0,,20.0,20.0,60.0,2025-01-23 23:33:31
46,Computer Science and Engineering,UG,Environment,xxxxxx,Core,4.0,,20.0,20.0,60.0,2025-02-17 07:59:10
47,Computer Science and Engineering,UG,Environment Studies,AEC05AX02,AECC,4.0,,20.0,20.0,60.0,2024-08-08 03:16:00
48,Computer Science and Engineering,UG,Financial Markets,CSE05K303,SEC,3.0,,20.0,30.0,50.0,2024-12-12 03:03:58
49,Computer Science and Engineering,UG,Foundations of Computer Science,CSN05C103,Core,4.0,,30.0,20.0,50.0,2024-08-08 03:12:48
50,Computer Science and Engineering,UG,Fundamentals of Business Analytics,CSE05K301,SEC,3.0,,20.0,30.0,50.0,2024-12-12 03:02:36
51,Computer Science and Engineering,UG,Fundamentals of Python,CSE05C204,Core,3.0,1.0,30.0,20.0,50.0,2024-12-10 01:28:45
52,Computer Science and Engineering,UG,General Psychology,PSY05GX01,GE,4.0,,20.0,20.0,60.0,2024-08-08 03:43:22
53,Computer Science and Engineering,UG,Guru Granth Sahib & Divine Music,SGGS04CS401,GE,4.0,,20.0,20.0,60.0,2024-08-08 04:04:51
54,Computer Science and Engineering,UG,Healthcare Data Analytics,CSE05E702,DSE,3.0,,30.0,20.0,50.0,2024-12-13 23:31:58
